Position,Company,Region,Link
라인프렌즈 2022년 각 부문 수시,라인프렌즈,서울 용산구,https://kr.indeed.com/rc/clk?jk=1015284880e2ff62&fccid=b6f22bcb6078a2c4&vjs=3
퀀트운용본부 직원(신입 및 인턴),현대자산운용,대한민국,https://kr.indeed.com/rc/clk?jk=84fdcc3c8a8cf47f&fccid=dee1da98e67853c9&vjs=3
서버 개발자 Python(Django) Developer (주니어),아테나스랩,서울 마포구,https://kr.indeed.com/rc/clk?jk=9959129af3c5fd06&fccid=f7418ec5d47158aa&vjs=3
한국필립모리스 2022년 상반기 수시,한국필립모리스㈜,서울 영등포구,https://kr.indeed.com/rc/clk?jk=44e9ac7f0f94e784&fccid=fb7e65f74b012d18&vjs=3
C# S/W 개발자 or Python 응용 S/W 개발(사원주임대리과장,제스엔지니어링,서울 금천구,https://kr.indeed.com/rc/clk?jk=37df5ae012725ae2&fccid=0f2f8141103a3f4e&vjs=3
백엔드 개발자(Python),액스,서울 서초구,https://kr.indeed.com/rc/clk?jk=24d38e6721dfb0e4&fccid=5013eca338141e7d&vjs=3
의료영상  인공지능 외 신입/경력 정규직  인턴,니어브레인,서울 강남구,https://kr.indeed.com/rc/clk?jk=637daa5067e55e6c&fccid=6cb2ddea6326744c&vjs=3
[NAVER Z] 데이터 엔지니어,네이버제트,성남 분당구,https://kr.indeed.com/rc/clk?jk=889ce94eaaf84122&fccid=bc34e4450e078d19&vjs=3
프론트엔드(신입) 개발자 /충주,서울소프트,충청북도 충주,https://kr.indeed.com/rc/clk?jk=91675c17d1d0dbd8&fccid=97afd8ba47455ffe&vjs=3
LG이노텍 AI/BigData 석박사 신입사원/산학장학생,LG이노텍,서울 강서구,https://kr.indeed.com/rc/clk?jk=a28cfcec0a3ee874&fccid=6ecf392a15407b3e&vjs=3
[Secruity] 시스템보안 엔지니어,한국카카오은행,성남 분당구,https://kr.indeed.com/rc/clk?jk=2541053271eee686&fccid=aea6a13a3459fdb2&vjs=3
'22년 현대중공업그룹 연구 신입 및 경력 (수시 2차),현대중공업그룹,성남 분당구,https://kr.indeed.com/rc/clk?jk=40e6ffb1e5a47920&fccid=ea47247455261878&vjs=3
